,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
3586,none,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,PG-13,True,English; Russian,The Avengers,USA,Joss Whedon (screenplay); Zak Penn (story); Joss Whedon (story),69,8.1,Joss Whedon,04 May 2012,Robert Downey Jr.; Chris Evans; Mark Ruffalo; Chris Hemsworth,2012,Action; Sci-Fi,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,143 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,1016311,tt0848228,34,76,0,0,1,0,0,0,0,0
3588,none,Acting under the cover of a Hollywood producer scouting a location for a science fiction film; a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.,R,True,English; Persian,Argo,USA,"Chris Terrio (screenplay); Tony Mendez (based on a selection from ""The Master of Disguise"" by); Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)",86,7.7,Ben Affleck,12 Oct 2012,Ben Affleck; Bryan Cranston; Alan Arkin; John Goodman,2012,Biography; Drama; History,Won 3 Oscars. Another 92 wins & 150 nominations.,120 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg,461261,tt1024648,95,150,0,0,0,3,0,0,0,0
3591,none,Harry; Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.,PG-13,True,English,Harry Potter and the Deathly Hallows: Part 2,USA; UK,Steve Kloves (screenplay); J.K. Rowling (novel),87,8.1,David Yates,15 Jul 2011,Ralph Fiennes; Michael Gambon; Alan Rickman; Daniel Radcliffe,2011,Adventure; Drama; Fantasy,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,130 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1_SX300.jpg,555113,tt1201607,46,90,0,0,3,0,0,0,0,0
3593,none,Six years after their Guantanamo Bay adventure; stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.,R,True,English,A Very Harold & Kumar 3D Christmas,USA,Jon Hurwitz; Hayden Schlossberg; Jon Hurwitz (characters); Hayden Schlossberg (characters),61,6.3,Todd Strauss-Schulson,04 Nov 2011,Patton Oswalt; Isabella Gielniak; Kal Penn; Austin Bickel,2011,Adventure; Comedy,1 nomination.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzA1NTQzMjAyOV5BMl5BanBnXkFtZTcwNDcyMjY2Ng@@._V1_SX300.jpg,55747,tt1268799,0,1,0,0,0,0,0,0,0,0
3594,none,In 1962; the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.,PG-13,True,English; German; French; Spanish; Russian,X-Men: First Class,USA; UK,Ashley Miller (screenplay); Zack Stentz (screenplay); Jane Goldman (screenplay); Matthew Vaughn (screenplay); Sheldon Turner (story); Bryan Singer (story),65,7.8,Matthew Vaughn,03 Jun 2011,James McAvoy; Laurence Belcher; Michael Fassbender; Bill Milner,2011,Action; Adventure; Sci-Fi,20 wins & 35 nominations.,132 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_SX300.jpg,529263,tt1270798,20,35,0,0,0,0,0,0,0,0
3595,none,The Quileutes close in on expecting parents Edward and Bella; whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.,PG-13,True,English; Portuguese,The Twilight Saga: Breaking Dawn - Part 1,USA,Melissa Rosenberg (screenplay); Stephenie Meyer (novel),45,4.9,Bill Condon,18 Nov 2011,Taylor Lautner; Gil Birmingham; Billy Burke; Sarah Clarke,2011,Adventure; Drama; Fantasy,11 wins & 21 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODgxNDE0OTAzOF5BMl5BanBnXkFtZTcwNzcwODE2Ng@@._V1_SX300.jpg,184704,tt1324999,11,21,0,0,0,0,0,0,0,0
3597,none,In the bleak days of the Cold War; espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet agent within MI6.,R,True,English; Russian; Hungarian; French,Tinker Tailor Soldier Spy,France; UK; Germany,Bridget O'Connor (screenplay); Peter Straughan (screenplay); John le Carré (novel),85,7.1,Tomas Alfredson,06 Jan 2012,Mark Strong; John Hurt; Zoltán Mucsi; Péter Kálloy Molnár,2011,Drama; Mystery; Thriller,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTkwNzMyM15BMl5BanBnXkFtZTcwOTI4ODg2Ng@@._V1_SX300.jpg,152119,tt1340800,34,91,0,0,3,0,0,0,0,0
3600,none,Haunted by painful memories and increasing paranoia; a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.,R,True,English,Martha Marcy May Marlene,USA,Sean Durkin,76,6.9,Sean Durkin,21 Dec 2011,Elizabeth Olsen; Christopher Abbott; Brady Corbet; Hugh Dancy,2011,Drama; Mystery; Thriller,22 wins & 68 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MTYwMzg1N15BMl5BanBnXkFtZTcwNzM0MDY4Ng@@._V1_SX300.jpg,41037,tt1441326,22,68,0,0,0,0,0,0,0,0
3604,none,Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,R,True,English,Melancholia,Denmark; Sweden; France; Germany,Lars von Trier,80,7.1,Lars von Trier,26 May 2011,Kirsten Dunst; Charlotte Gainsbourg; Alexander Skarsgård; Brady Corbet,2011,Drama,32 wins & 86 nominations.,135 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NjM0MjI3MV5BMl5BanBnXkFtZTcwNjcxMDYzNg@@._V1_SX300.jpg,131658,tt1527186,32,86,0,0,0,0,0,0,0,0
3606,none,After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together; sometimes not; on that day.,PG-13,True,English,One Day,USA; UK,David Nicholls (screenplay); David Nicholls (book),48,7.0,Lone Scherfig,19 Aug 2011,Anne Hathaway; Jim Sturgess; Tom Mison; Jodie Whittaker,2011,Drama; Romance,1 win & 2 nominations.,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NTg2MDI3NF5BMl5BanBnXkFtZTcwMjc5MTA1NA@@._V1_SX300.jpg,108907,tt1563738,1,2,0,0,0,0,0,0,0,0
3610,none,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,PG-13,True,English; Portuguese; Spanish; Italian,Fast Five,USA,Chris Morgan; Gary Scott Thompson (characters),67,7.3,Justin Lin,29 Apr 2011,Vin Diesel; Paul Walker; Jordana Brewster; Tyrese Gibson,2011,Action; Crime; Thriller,8 wins & 19 nominations.,131 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg,289017,tt1596343,8,19,0,0,0,0,0,0,0,0
3611,none,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,PG,True,English,Soul Surfer,USA,Sean McNamara (screenplay); Deborah Schwartz (screenplay); Douglas Schwartz (screenplay); Michael Berk (screenplay); Sean McNamara (screen story); Deborah Schwartz (screen story); Douglas Schwartz (screen story); Michael Berk (screen story); Matt Allen (screen story); Caleb Wilson (screen story); Brad Gann (screen story); Bethany Hamilton (book); Sheryl Berk (book); Rick Bundschuh (book),53,7.1,Sean McNamara,08 Apr 2011,AnnaSophia Robb; Helen Hunt; Dennis Quaid; Carrie Underwood,2011,Biography; Drama; Family,1 win & 12 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_SX300.jpg,36108,tt1596346,1,12,0,0,0,0,0,0,0,0
3612,none,Abraham Lincoln; the 16th President of the United States; discovers vampires are planning to take over the United States. He makes it his mission to eliminate them.,R,True,English,Abraham Lincoln: Vampire Hunter,USA,Seth Grahame-Smith (screenplay); Seth Grahame-Smith (based on the novel by),42,5.9,Timur Bekmambetov,22 Jun 2012,Benjamin Walker; Dominic Cooper; Anthony Mackie; Mary Elizabeth Winstead,2012,Action; Fantasy; Horror,1 nomination.,105 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjY2Mzc0MDA4NV5BMl5BanBnXkFtZTcwOTg5OTcxNw@@._V1_SX300.jpg,130144,tt1611224,0,1,0,0,0,0,0,0,0,0
3615,none,John Bennett; a man whose childhood wish of bringing his teddy bear to life came true; now must decide between keeping the relationship with the bear or his girlfriend; Lori.,R,True,English; Ukrainian,Ted,USA,Seth MacFarlane (screenplay); Alec Sulkin (screenplay); Wellesley Wild (screenplay); Seth MacFarlane (story by),62,7.0,Seth MacFarlane,29 Jun 2012,Mark Wahlberg; Mila Kunis; Seth MacFarlane; Joel McHale,2012,Animation; Comedy; Fantasy,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,479062,tt1637725,13,27,0,0,1,0,0,0,0,0
3617,none,During the summer of 1979; a group of friends witness a train crash and investigate subsequent unexplained events in their small town.,PG-13,True,English,Super 8,USA,J.J. Abrams,72,7.1,J.J. Abrams,10 Jun 2011,Joel Courtney; Jessica Tuck; Joel McKinnon Miller; Ryan Lee,2011,Mystery; Sci-Fi; Thriller,11 wins & 62 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NzkxMzQ5MF5BMl5BanBnXkFtZTcwNDYwMTA3NA@@._V1_SX300.jpg,291210,tt1650062,11,62,0,0,0,0,0,0,0,0
3639,none,A documentary that follows one year in the life of American pro basketball player Kevin Sheppard; who signed on to play for the upstart Iranian Super League team A.S. Shiraz.,NOT RATED,True,English; Persian,The Iran Job,USA; Iran; Germany,Till Schauder,67,7.1,Till Schauder,21 Feb 2013,Kevin Sheppard; Eunice Sheppard; Leah Sheppard; Gholam Reza Khajeh,2012,Documentary; Sport,1 nomination.,90 min,movie,http://ia.media-imdb.com/images/M/MV5BMTU1ODA3OTcyN15BMl5BanBnXkFtZTcwNzExNjg3Nw@@._V1_SX300.jpg,507,tt1753846,0,1,0,0,0,0,0,0,0,0
3640,none,A story that focuses on the problematic relationship between Paul Marseul; owner of a prestigious vineyard in Saint Emilion and his son; Martin; who works with him on the family estate. ...,R,True,French,You Will Be My Son,France,Laure Gasparotto (collaboration); Gilles Legrand (screenplay); Delphine de Vigan (screenplay),67,6.9,Gilles Legrand,16 Aug 2013,Niels Arestrup; Lorànt Deutsch; Patrick Chesnais; Anne Marivin,2011,Drama,2 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjUxODgwMzAxM15BMl5BanBnXkFtZTcwMzk5NDc5OQ@@._V1_SX300.jpg,837,tt1754795,0,2,0,0,0,0,0,0,0,0
3642,none,Decades-old found footage from NASA's abandoned Apollo 18 mission; where two American astronauts were sent on a secret expedition; reveals the reason the U.S. has never returned to the moon.,PG-13,True,English,Apollo 18,USA; Canada,Brian Miller,24,5.2,Gonzalo López-Gallego,02 Sep 2011,Warren Christie; Lloyd Owen; Ryan Robbins; Michael Kopsa,2011,Horror; Mystery; Sci-Fi,1 win & 1 nomination.,86 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTk3OTk3OV5BMl5BanBnXkFtZTcwMzg4MzgxNg@@._V1_SX300.jpg,47682,tt1772240,1,1,0,0,0,0,0,0,0,0
3648,none,Unprecedented access to the New York Times newsroom yields a complex view of the transformation of a media landscape fraught with both peril and opportunity.,R,True,English,Page One: Inside the New York Times,USA,Kate Novack; Andrew Rossi,68,6.9,Andrew Rossi,29 Sep 2011,Sarah Ellison; Larry Ingrassia; David Carr; Dennis Crowley,2011,Documentary,3 wins & 9 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzMjk0MjA3MF5BMl5BanBnXkFtZTcwOTczMjEyNQ@@._V1_SX300.jpg,2941,tt1787777,3,9,0,0,0,0,0,0,0,0
3761,none,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,R,True,English,Sinister,USA; UK,Scott Derrickson; C. Robert Cargill,53,6.8,Scott Derrickson,12 Oct 2012,Ethan Hawke; Juliet Rylance; Fred Dalton Thompson; James Ransone,2012,Horror; Mystery,3 wins & 13 nominations.,110 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_SX300.jpg,160435,tt1922777,3,13,0,0,0,0,0,0,0,0
4697,none,Humanity finds a mysterious; obviously artificial object buried beneath the Lunar surface and; with the intelligent computer H.A.L. 9000; sets off on a quest.,G,True,English; Russian,2001: A Space Odyssey,UK; USA,Stanley Kubrick (screenplay); Arthur C. Clarke (screenplay),86,8.3,Stanley Kubrick,12 May 1968,Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter,1968,Adventure; Mystery; Sci-Fi,Won 1 Oscar. Another 13 wins & 7 nominations.,149 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTZkZTBhYmUtMTIzNy00YTViLTg1OWItNGUwMmVlN2FjZTVkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,437932,tt0062622,14,7,0,0,0,1,0,0,0,0
4698,none,Humanity finds a mysterious; obviously artificial object buried beneath the Lunar surface and; with the intelligent computer H.A.L. 9000; sets off on a quest.,G,True,English; Russian,2001: A Space Odyssey,UK; USA,Stanley Kubrick (screenplay); Arthur C. Clarke (screenplay),86,8.3,Stanley Kubrick,12 May 1968,Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter,1968,Adventure; Mystery; Sci-Fi,Won 1 Oscar. Another 13 wins & 7 nominations.,149 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTZkZTBhYmUtMTIzNy00YTViLTg1OWItNGUwMmVlN2FjZTVkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,437932,tt0062622,14,7,0,0,0,1,0,0,0,0
4700,none,Luke Skywalker joins forces with a Jedi Knight; a cocky pilot; a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station; while also attempting to rescue Princess Leia from the evil Darth Vader.,PG,True,English,Star Wars: Episode IV - A New Hope,USA,George Lucas,92,8.7,George Lucas,25 May 1977,Mark Hamill; Harrison Ford; Carrie Fisher; Peter Cushing,1977,Action; Adventure; Fantasy,Won 6 Oscars. Another 48 wins & 28 nominations.,121 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZGEzZTExMDEtNjg4OC00NjQxLTk5NTUtNjRkNjA3MmYwZjg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,927743,tt0076759,54,28,0,0,0,6,0,0,0,0
4707,none,A fast track lawyer can't lie for 24 hours due to his son's birthday wish after the lawyer turns his son down for the last time.,PG-13,True,English,Liar Liar,USA,Paul Guay; Stephen Mazur,68,6.8,Tom Shadyac,21 Mar 1997,Jim Carrey; Maura Tierney; Justin Cooper; Cary Elwes,1997,Comedy; Fantasy,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,86 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,225370,tt0119528,4,6,0,0,0,0,1,0,0,0
4710,none,When his job along with that of his co-worker are threatened; Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.,PG,True,English; Spanish; Icelandic,The Secret Life of Walter Mitty,USA; UK; Canada; Australia,Steve Conrad (screenplay); Steve Conrad (screen story by); James Thurber (based on the short story by),54,7.3,Ben Stiller,25 Dec 2013,Ben Stiller; Kristen Wiig; Jon Daly; Kathryn Hahn,2013,Adventure; Comedy; Drama,5 wins & 16 nominations.,114 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg,241353,tt0359950,5,16,0,0,0,0,0,0,0,0
4714,none,An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free; his zoo pals must put aside their differences to help bring him back.,G,True,English,The Wild,Canada; USA,Ed Decter (screenplay); John J. Strauss (screenplay); Mark Gibson (screenplay); Philip Halprin (screenplay); Mark Gibson (story); Philip Halprin (story); Bill Wolkoff (additional story material); David Collard (additional story material); Matt Lopez (additional story material); Lloyd Taylor (additional story material); Steve 'Spaz' Williams (additional story material),47,5.3,Steve 'Spaz' Williams,14 Apr 2006,Kiefer Sutherland; Jim Belushi; Eddie Izzard; Janeane Garofalo,2006,Animation; Adventure; Comedy,2 nominations.,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5ODgzNjQ3OF5BMl5BanBnXkFtZTcwNTYyMTQzMQ@@._V1_SX300.jpg,19203,tt0405469,0,2,0,0,0,0,0,0,0,0
4716,none,An ancient struggle between two Cybertronian races; the heroic Autobots and the evil Decepticons; comes to Earth; with a clue to the ultimate power held by a teenager.,PG-13,True,English; Spanish,Transformers,USA,Roberto Orci (screenplay); Alex Kurtzman (screenplay); John Rogers (story); Roberto Orci (story); Alex Kurtzman (story),61,7.1,Michael Bay,03 Jul 2007,Shia LaBeouf; Megan Fox; Josh Duhamel; Tyrese Gibson,2007,Action; Adventure; Sci-Fi,Nominated for 3 Oscars. Another 19 wins & 40 nominations.,144 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1NTU2OWEtM2UzYi00ZWRmLWEwMTktZWNjYWQ1NWM1OThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,518896,tt0418279,19,43,0,0,3,0,0,0,0,0
4718,none,A group of Iraq War veterans looks to clear their name with the U.S. military; who suspect the four men of committing a crime for which they were framed.,PG-13,True,English; Spanish; French; Swahili; German,The A-Team,USA,"Joe Carnahan; Brian Bloom; Skip Woods; Frank Lupo (television series ""The A-Team""); Stephen J. Cannell (television series ""The A-Team"")",47,6.8,Joe Carnahan,11 Jun 2010,Liam Neeson; Bradley Cooper; Jessica Biel; Quinton 'Rampage' Jackson,2010,Action; Adventure; Comedy,2 wins & 4 nominations.,117 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4ODc4NTQ1N15BMl5BanBnXkFtZTcwNDUxODUyMw@@._V1_SX300.jpg,213986,tt0429493,2,4,0,0,0,0,0,0,0,0
4719,none,When famous DJ Alan Partridge's radio station is taken over by a new media conglomerate; it sets in motion a chain of events which see Alan having to work with the police to defuse a potentially violent siege.,R,True,English,Alan Partridge,UK; France,Peter Baynham (based upon characters created by); Peter Baynham (screenplay); Steve Coogan (based upon characters created by); Steve Coogan (screenplay); Neil Gibbons (screenplay); Rob Gibbons (screenplay); Armando Iannucci (based upon characters created by); Armando Iannucci (screenplay); Patrick Marber (based upon characters created by),66,7.0,Declan Lowney,27 Feb 2014,Colm Meaney; Steve Coogan; Tim Key; Karl Theobald,2013,Comedy; Crime,1 win & 7 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzODAxODYzM15BMl5BanBnXkFtZTgwMzYwOTcwMTE@._V1_SX300.jpg,24821,tt0469021,1,7,0,0,0,0,0,0,0,0
4720,none,After their cave is destroyed; a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.,PG,True,English,The Croods,USA,Chris Sanders (screenplay); Kirk De Micco (screenplay); John Cleese (story); Kirk De Micco (story); Chris Sanders (story),55,7.3,Kirk De Micco; Chris Sanders,22 Mar 2013,Nicolas Cage; Emma Stone; Ryan Reynolds; Catherine Keener,2013,Animation; Adventure; Comedy,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,153957,tt0481499,5,42,0,0,1,0,0,0,0,0
4724,none,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,PG,True,English,Escape from Planet Earth,USA; Canada,Bob Barlen; Cal Brunker; Tony Leech (story); Cory Edwards (story); Stephen Fry (additional story material),35,6.0,Cal Brunker,15 Feb 2013,Brendan Fraser; Rob Corddry; Ricky Gervais; Jonathan Morgan Heit,2013,Animation; Adventure; Comedy,1 win.,89 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,20964,tt0765446,1,0,0,0,0,0,0,0,0,0
4725,none,Clark Kent; one of the last of an extinguished race disguised as an unremarkable human; is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.,PG-13,True,English,Man of Steel,USA; Canada; UK,David S. Goyer (screenplay); David S. Goyer (story); Christopher Nolan (story); Jerry Siegel (Superman created by); Joe Shuster (Superman created by),55,7.1,Zack Snyder,14 Jun 2013,Henry Cavill; Amy Adams; Michael Shannon; Diane Lane,2013,Action; Adventure; Fantasy,7 wins & 42 nominations.,143 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,560710,tt0770828,7,42,0,0,0,0,0,0,0,0
4727,none,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,PG,True,English,The Boxtrolls,USA,Irena Brignull (screenplay); Adam Pava (screenplay); Alan Snow (novel); Anthony Stacchi (story adapted by); Phil Dale (story adapted by); Vera Brosgol (additional writing),61,6.8,Graham Annable; Anthony Stacchi,26 Sep 2014,Ben Kingsley; Jared Harris; Nick Frost; Richard Ayoade,2014,Animation; Adventure; Comedy,Nominated for 1 Oscar. Another 8 wins & 58 nominations.,96 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_SX300.jpg,42824,tt0787474,8,59,0,0,1,0,0,0,0,0
4728,none,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,PG-13,True,English,Interstellar,USA; UK,Jonathan Nolan; Christopher Nolan,74,8.6,Christopher Nolan,07 Nov 2014,Ellen Burstyn; Matthew McConaughey; Mackenzie Foy; John Lithgow,2014,Adventure; Drama; Sci-Fi,Won 1 Oscar. Another 39 wins & 134 nominations.,169 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,961788,tt0816692,40,134,0,0,0,1,0,0,0,0
4729,none,Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments; and threatening to destroy humanity itself.,PG-13,True,English; Spanish; Hebrew; Arabic,World War Z,USA,Matthew Michael Carnahan (screenplay); Drew Goddard (screenplay); Damon Lindelof (screenplay); Matthew Michael Carnahan (screen story); J. Michael Straczynski (screen story); Max Brooks (based on the novel by),63,7.0,Marc Forster,21 Jun 2013,Brad Pitt; Mireille Enos; Daniella Kertesz; James Badge Dale,2013,Action; Adventure; Horror,3 wins & 23 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTgxMjIxOF5BMl5BanBnXkFtZTcwMDM0MDY1OQ@@._V1_SX300.jpg,473619,tt0816711,3,23,0,0,0,0,0,0,0,0
4731,none,As his kingdom is being threatened by the Turks; young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family; and the families of his kingdom.,PG-13,True,English; Turkish,Dracula Untold,USA; Japan,Matt Sazama (screenplay); Burk Sharpless (screenplay); Bram Stoker (characters),40,6.3,Gary Shore,10 Oct 2014,Luke Evans; Sarah Gadon; Dominic Cooper; Art Parkinson,2014,Action; Drama; Fantasy,2 wins & 3 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNzI1OTI4N15BMl5BanBnXkFtZTgwNTQ2NzEwMjE@._V1_SX300.jpg,141914,tt0829150,2,3,0,0,0,0,0,0,0,0
4732,none,The world is beset by the appearance of monstrous creatures; but one of them may be the only one who can save humanity.,PG-13,True,English; Japanese,Godzilla,USA; Japan,Max Borenstein (screenplay); Dave Callaham (story),62,6.5,Gareth Edwards,16 May 2014,Aaron Taylor-Johnson; CJ Adams; Ken Watanabe; Bryan Cranston,2014,Action; Adventure; Sci-Fi,5 wins & 28 nominations.,123 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BN2E4ZDgxN2YtZjExMS00MWE5LTg3NjQtNTkxMzJhOTA3MDQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,306254,tt0831387,5,28,0,0,0,0,0,0,0,0
4733,none,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,PG-13,True,English; Russian,The Avengers,USA,Joss Whedon (screenplay); Zak Penn (story); Joss Whedon (story),69,8.1,Joss Whedon,04 May 2012,Robert Downey Jr.; Chris Evans; Mark Ruffalo; Chris Hemsworth,2012,Action; Sci-Fi,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,143 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,1016311,tt0848228,34,76,0,0,1,0,0,0,0,0
4734,none,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.,PG,True,English,Epic,USA,"James V. Hart (screenplay); William Joyce (screenplay); Daniel Shere (screenplay); Tom J. Astle (screenplay); Matt Ember (screenplay); William Joyce (story); James V. Hart (story); Chris Wedge (story); William Joyce (Leafmen characters from book ""The Leaf Men and the Brave Good Bugs"")",52,6.7,Chris Wedge,24 May 2013,Blake Anderson; Aziz Ansari; Allison Bills; Jim Conroy,2013,Animation; Adventure; Family,2 wins & 21 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX300.jpg,86952,tt0848537,2,21,0,0,0,0,0,0,0,0
